"Position","Company","Posting_Text","Link","Term"
"Research Associate","Harvard University","Job Code
Duties & Responsibilities
Basic Qualifications
Additional Qualifications
Additional Information
Job Function
Sub-Unit
Location
Department
Time Status
Union
Salary Grade
Appointment End Date
Pre-Employment Screening
Schedule
EEO Statement","https://www.indeed.com/rc/clk?jk=a827f50cd9e62e81&fccid=5507a64404691526&vjs=3","r+programming"
"Language Engineer - Portuguese","Amazon.com","","https://www.indeed.com/rc/clk?jk=d161c3c4a87278cc&fccid=fe2d21eef233e94a&vjs=3","r+programming"
"Data Analyst I","Massachusetts General Hospital(MGH)","This Statistical Data Analyst position offers the opportunity to work directly with the Senior Investigator in the Division of Cardiology at MGH as part of a collaborative multidisciplinary team of clinicians, scientists, and trainees. The candidate will have the opportunity to lead data analyses for projects related to heart disease, and to leverage conventional and advanced approaches to analyze large unique high-dimensional complex databases of human data. Responsibilities will include developing research protocols, compiling data, managing databases, conducting statistical analyses, validating programming and reporting output in numerical and graphic formats under the supervision of the PIs. The candidate will need a thorough understanding of data/information quality principles in medical data management, as well as manipulation and interpretation of large databases in an academic medical center environment.
The candidate will contribute to the preparation and presentation of research results and publications and will help coordinate collaborative research activities with investigators locally and at other institutions across the U.S. and other countries around the world. The successful candidate is highly motivated, scientifically inquisitive, and thrives in an academic/professional atmosphere, where interdisciplinary teams are central to project success.","https://www.indeed.com/rc/clk?jk=ad29e3d26723e879&fccid=3aaabf5c54e51db9&vjs=3","r+programming"
"Part-Time Data Analyst - Beatrice Rogers Research, Friedman School of Nutrition","TUFTS University","","https://www.indeed.com/rc/clk?jk=d570bee016e595a8&fccid=6204ad93e6d7930f&vjs=3","r+programming"
"GIS Administrator","Metropolitan Area Planning Council","The Metropolitan Area Planning Council seeks an experienced GIS Administrator to be part of an innovative, interdisciplinary team that works to apply data and technology to complex planning challenges in Metro Boston. The GIS Administrator is the point person for administration of MAPC's GIS software, servers, and enterprise geodatabases that support numerous internal and external applications and users. In addition, the GIS Administrator will play a leading role in the production and publication of major new datasets built from administrative records, web scraping, remote sensing, and mobile devices. The GIS Administrator will manage the collection and standardization of data from traditional providers, and the incorporation of these data into our infrastructure. The principal tenet of this work is that effective planning for a sustainable and equitable region demands high quality and spatially accurate current and historical data.
The GIS Administrator is part of MAPC's Data Services department, a team of 15 planners, researchers, GIS analysts, web developers, and information technology specialists focused on using data and technology to support informed decision making in Metro Boston. Through our data, digital tools, and analysis, we have established ourselves as an essential data resource for municipalities, community based organizations, and other public agencies in Metro Boston and across Massachusetts. We rely on a mix of ESRI products (ArcSDE, ArcServer, ArcGIS online), open source software (PostgreSQL, R, Python), and applications developed in-house. Our public data catalog (datacommon.mapc.org) makes available massive datasets through a custom-built and seamless connection to our internal database. To learn more about MAPC's data products and tools, please visit: mapc.org/learn/data.About the Metropolitan Area Planning Council
The Metropolitan Area Planning Council is a regional planning agency serving the people who live and work in 101 cities and towns in Metropolitan Boston (Download PDF reader). Our mission is to promote smart growth and regional cooperation. We work toward sound municipal management, sustainable land use, protection of natural resources, efficient and affordable transportation, a diverse housing stock, public safety, economic development, an informed public, and equity and opportunity among people of all backgrounds. MAPC's staff consists of approximately 90 full-time employees located in downtown Boston in a transit-accessible, family-friendly, and bike-friendly office.
Compensation and Benefits
Salary range: $65,000-$80,000, depending on qualifications. Excellent state employee benefits package.Additional information and requirements
The position is open until filled. Review of applications will begin immediately and will continue until the position is filled. Interested candidates should submit a cover letter, resume and three references.
Candidates must have legal authorization to work in the USA and a valid driver's license and/or the ability to arrange transportation to meetings in different parts of the region. A Criminal Offenders Records Information (CORI) request must be completed if offered this position. However, a criminal record is not an automatic bar to employment but will be reviewed in relation to the job applied for. MAPC is an EOE/ AA employer. MAPC takes pride in the diversity of its workforce and encourages all qualified persons to apply.HOW TO APPLY
www.mapc.org/jobs","https://www.indeed.com/rc/clk?jk=55b6356600c2d6d9&fccid=830f09a42fdc2d36&vjs=3","r+programming"
"Associate Data Analyst","Iron Mountain","Iron Mountain complies with the Accessibility for Ontarians with Disabilities Act and welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.","https://www.indeed.com/rc/clk?jk=63a861580ab07051&fccid=849a996a7e062132&vjs=3","r+programming"
"Predoctoral Research Fellow","MIT","Working at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity.
PREDOCTORAL RESEARCH FELLOW, Economics-School Effectiveness and Inequality Initiative (SEII), to support the evaluation and improvement education programs and policies in the U.S. Fellows receive a two-year full-time appointment with SEII, a research lab based at the MIT Department of Economics and the National Bureau of Economic Research. Fellows will work closely with SEII directors Joshua Angrist, David Autor, and Parag Pathak as well as with collaborators at universities across the country. Specific responsibilities include cleaning and organizing data, analyzing data using statistical software, presenting results, and editing papers for publication.
Job Requirements
REQUIRED: a minimum of a bachelor’s degree in economics, computer science, mathematics, statistics, or a related field; strong quantitative and programming skills; at least two years (which may include work experience gained as an undergraduate) of specialized experience with qualitative data analysis, research methods, and social sciences. Research experience and knowledge of Stata, MATLAB, and/or R strongly preferred. Job #16793
The start date is flexible, with a strong preference for candidates who can begin on or before June 1, 2019.
Please note that research fellows are not eligible for visa sponsorship.
In addition to applying via the MIT website, please also complete an SEII application at https://goo.gl/forms/NjsbC98VczdtjP2I3.","https://www.indeed.com/rc/clk?jk=5bfc44a9e6f5133b&fccid=71cf745ec1b3aae4&vjs=3","r+programming"
"Data Analyst I","Massachusetts General Hospital(MGH)","This Statistical Data Analyst position offers the opportunity to work directly with the Senior Investigator in the Division of Cardiology at MGH as part of a collaborative multidisciplinary team of clinicians, scientists, and trainees. The candidate will have the opportunity to lead data analyses for projects related to heart disease, and to leverage conventional and advanced approaches to analyze large unique high-dimensional complex databases of human data. Responsibilities will include developing research protocols, compiling data, managing databases, conducting statistical analyses, validating programming and reporting output in numerical and graphic formats under the supervision of the PIs. The candidate will need a thorough understanding of data/information quality principles in medical data management, as well as manipulation and interpretation of large databases in an academic medical center environment.
The candidate will contribute to the preparation and presentation of research results and publications and will help coordinate collaborative research activities with investigators locally and at other institutions across the U.S. and other countries around the world. The successful candidate is highly motivated, scientifically inquisitive, and thrives in an academic/professional atmosphere, where interdisciplinary teams are central to project success.","https://www.indeed.com/rc/clk?jk=ad29e3d26723e879&fccid=3aaabf5c54e51db9&vjs=3","r+programming"
"Research Analyst II","Harvard University","Job Code
Duties & Responsibilities
Basic Qualifications
Additional Qualifications
Job Function
Sub-Unit
Location
Department
Time Status
Union
Salary Grade
Appointment End Date
Pre-Employment Screening
EEO Statement","https://www.indeed.com/rc/clk?jk=31a1bcac18c98dbe&fccid=5507a64404691526&vjs=3","r+programming"
"Data Analyst (c/o 2019 Seniors!)","Hopjump","","https://www.indeed.com/rc/clk?jk=e16a0653f4066e9b&fccid=30c994b6c2f39768&vjs=3","r+programming"
"Part-Time Data Analyst - Beatrice Rogers Research, Friedman School of Nutrition","TUFTS University","","https://www.indeed.com/rc/clk?jk=d570bee016e595a8&fccid=6204ad93e6d7930f&vjs=3","r+programming"
"Analytical Lead, Finance","Google","Qualifications
Minimum qualifications:
Preferred qualifications:
About the job
Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow. Using your influencing and relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.
Google’s Sales teams work with a wide range of partners to bring the best of Google to power their business. As an Analytical Lead, you will be a strategic analyst, advisor and consultant, providing data-supported insights to clients and agencies to help improve their business.
You will partner with Account Managers and Account Executives to build and present integrated business and media opportunities based on industry trends and insights from data. You have demonstrated analytical expertise, attested business ability and are dedicated to solving complex business challenges.
Our Large Customer Sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build strong businesses and brands. We enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. We're uniquely situated to help shape how companies grow their businesses in the digital age. We advise clients on Google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences.
Responsibilities
Location
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by emailing candidateaccommodations@google.com.
To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other organization location. Google is not responsible for any fees related to unsolicited resumes.","https://www.indeed.com/rc/clk?jk=e1a6cfaeb11820a6&fccid=a5b4499d9e91a5c6&vjs=3","r+programming"
"Computational Biologist, Cancer Immunologic Data Commons (CIDC)","Dana-Farber Cancer Institute","","https://www.indeed.com/rc/clk?jk=34d962a78245721c&fccid=31a15643b156b0a5&vjs=3","r+programming"
"Research Fellow","Stroke Genetics","The Rosand and Anderson Labs are looking for a highly motivated individual with a background in genetics and/or data sciences to perform cutting-edge research utilizing genetic, epidemiological, and imaging data assembled from human subjects. Receiving general direction from Dr. Rosand, Dr. Anderson, and the Senior Research Lab Manager, the incumbent will work in the fields of complex disease genetics and bioinformatics to perform genetic and other analyses which include, but are not limited to; common and rare variant association testing, multivariate model-building using genetic and phenotypic data, sequencing and GWAS quality control and data harmonization, meta-analyses, prediction modeling, and genome annotation. 2-year minimum commitment is required.
The Research Fellow will be a project leader for execution of in silico analyses in the Rosand and Anderson labs, working with the PIs, other fellows, and coordinator staff. The incumbent will also be responsible for digital curation of existing and future datasets and analyses, project management, the preparation of presentation materials, manuscripts and grant applications, mentoring of technologists and coordinators, and presentations at local, national and international conferences.
Skills and competencies required:
If interested in applying for this position, please email your CV/resume to info@strokegenomics.org","https://www.indeed.com/rc/clk?jk=3fb58fca25c1af17&fccid=832a33860bb52fee&vjs=3","r+programming"
"Data Scientist, Massachusetts Office of the Inspector General: Bureau of Program Integrity/Policy and Government Divisions","Commonwealth of Massachusetts","How to Apply:","https://www.indeed.com/rc/clk?jk=7daa737a5b22ef08&fccid=4dd38d4e4cf0b7c0&vjs=3","r+programming"
"Analytical Lead, Finance","Google","Qualifications
Minimum qualifications:
Preferred qualifications:
About the job
Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow. Using your influencing and relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.
Google’s Sales teams work with a wide range of partners to bring the best of Google to power their business. As an Analytical Lead, you will be a strategic analyst, advisor and consultant, providing data-supported insights to clients and agencies to help improve their business.
You will partner with Account Managers and Account Executives to build and present integrated business and media opportunities based on industry trends and insights from data. You have demonstrated analytical expertise, attested business ability and are dedicated to solving complex business challenges.
Our Large Customer Sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build strong businesses and brands. We enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. We're uniquely situated to help shape how companies grow their businesses in the digital age. We advise clients on Google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences.
Responsibilities
Location
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by emailing candidateaccommodations@google.com.
To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other organization location. Google is not responsible for any fees related to unsolicited resumes.","https://www.indeed.com/rc/clk?jk=e1a6cfaeb11820a6&fccid=a5b4499d9e91a5c6&vjs=3","r+programming"
"Pharmacometrician","Nuventra Pharma Sciences","We seek a Pharmacometrician for exciting opportunities within our growing firm to work with industry-leading consultants in modeling and simulation. The successful candidates will possess an understanding of pharmacometrics, pharmacokinetics, PK/PD, and modeling concepts and applications. Excellent writing, communication, and mathematical skills are requisite to success in this position.
Responsibilities
Qualifications","https://www.indeed.com/rc/clk?jk=45e94fb7a5576afc&fccid=1db0764f9c3d2de8&vjs=3","r+programming"
"Biostatistician","Massachusetts General Hospital(MGH)","This Statistical Data Analyst position offers the opportunity to work both with the director of Outcomes Research in the Division of Cardiology at MGH as part of a collaborative multidisciplinary team including many physician trainees. The candidate will have the opportunity to lead complex analyses of observational data as well as conduct cost-effectiveness analyses. Responsibilities will include developing research protocols, compiling data, managing databases, conducting statistical analyses, and reporting output in numerical and graphic formats under the supervision of the PI. The candidate will need a thorough understanding of advanced statistical techniques used in research.
The candidate will contribute to the preparation and presentation of research results and publications and will help coordinate collaborative research activities with investigators locally and at other institutions across the U.S. and other countries around the world. The successful candidate is highly motivated, scientifically inquisitive, and thrives in an academic atmosphere, in which investigators seek to understand how to improve quality and value for patients with heart disease.
The Statistical Data Analyst has the following duties and responsibilities:","https://www.indeed.com/rc/clk?jk=aedd8c2b13a0b4b8&fccid=3aaabf5c54e51db9&vjs=3","r+programming"
"Bioinformatics Specialist I","Massachusetts General Hospital(MGH)","","https://www.indeed.com/rc/clk?jk=d1a2dfc710d6de78&fccid=3aaabf5c54e51db9&vjs=3","r+programming"
"Computational Biologist, Cancer Immunologic Data Commons (CIDC)","Dana-Farber Cancer Institute","","https://www.indeed.com/rc/clk?jk=34d962a78245721c&fccid=31a15643b156b0a5&vjs=3","r+programming"
"Research Fellow","Stroke Genetics","The Rosand and Anderson Labs are looking for a highly motivated individual with a background in genetics and/or data sciences to perform cutting-edge research utilizing genetic, epidemiological, and imaging data assembled from human subjects. Receiving general direction from Dr. Rosand, Dr. Anderson, and the Senior Research Lab Manager, the incumbent will work in the fields of complex disease genetics and bioinformatics to perform genetic and other analyses which include, but are not limited to; common and rare variant association testing, multivariate model-building using genetic and phenotypic data, sequencing and GWAS quality control and data harmonization, meta-analyses, prediction modeling, and genome annotation. 2-year minimum commitment is required.
The Research Fellow will be a project leader for execution of in silico analyses in the Rosand and Anderson labs, working with the PIs, other fellows, and coordinator staff. The incumbent will also be responsible for digital curation of existing and future datasets and analyses, project management, the preparation of presentation materials, manuscripts and grant applications, mentoring of technologists and coordinators, and presentations at local, national and international conferences.
Skills and competencies required:
If interested in applying for this position, please email your CV/resume to info@strokegenomics.org","https://www.indeed.com/rc/clk?jk=3fb58fca25c1af17&fccid=832a33860bb52fee&vjs=3","r+programming"
"VP, Biostatistics and Programming","Akebia Therapeutics","The Vice President of Biostatistics and Programming will provide leadership and guidance as the Akebia statistical expert. This position is accountable for all statistical [and statistical programming] aspects of clinical studies and submissions, including quality, timing, cost, relevance to regulatory perspective, and scientific validity. In addition, the candidate will be responsible for planning, analyzing and summarization of the results of individual clinical studies or groups of studies (integrated summaries) and coordinating the development and review of statistical aspects of world-wide regulatory submissions. The candidate will possess the ability to lead 3rd party vendors and consultant interactions for statistics and statistical programming. As department head, the candidate will be responsible for project staffing, staff management activities, resource planning and allocation and departmental budgeting. The candidate will also be a part of the Senior Management Team and provide input into overall R&D activities.","https://www.indeed.com/rc/clk?jk=c07b6c850cef6965&fccid=b842b3f04b3808a9&vjs=3","r+programming"
"Statistician I","Harvard University","Job Code
Duties & Responsibilities
Basic Qualifications
Additional Qualifications
Additional Information
Job Function
Sub-Unit
Location
Department
Time Status
Union
Salary Grade
Pre-Employment Screening
EEO Statement","https://www.indeed.com/rc/clk?jk=660dd1af9ccc2c7a&fccid=5507a64404691526&vjs=3","r+programming"
